iter	F1	Logloss
0	0.8513021563	0.4364540396
1	0.8794878931	0.2727557629
2	0.8860060723	0.1735761994
3	0.887966805	0.1172155557
4	0.8856705194	0.08350485343
5	0.8868501529	0.06163941788
6	0.8869734464	0.04816143295
7	0.8890735355	0.03910970346
8	0.8881487649	0.03298778075
9	0.8880255307	0.02867618916
10	0.8875329358	0.02580682104
11	0.8903636112	0.02364356741
12	0.8903636112	0.02207518872
13	0.8981049162	0.02086647883
14	0.8967129693	0.01988446836
15	0.8981049162	0.01905783534
16	0.8996160176	0.01852213467
17	0.8996160176	0.01807941306
18	0.8996160176	0.01770989388
19	0.8996160176	0.01735132731
20	0.8996160176	0.0169847791
21	0.8996160176	0.01658884902
22	0.8996160176	0.01629227185
23	0.8998628258	0.01600500583
24	0.8999862807	0.01563178728
25	0.8999862807	0.01533793572
26	0.901369863	0.01511191867
27	0.9014933553	0.01504039688
28	0.9014933553	0.014902864
29	0.9029963059	0.01471211575
30	0.9043715847	0.01456762737
31	0.9043715847	0.01445502423
32	0.9073569482	0.01432378137
33	0.9073569482	0.01417389319
34	0.9073569482	0.01404120841
35	0.9073569482	0.01394542123
36	0.907233347	0.01380999746
37	0.907233347	0.01371908187
38	0.9073569482	0.01354072578
39	0.9085963003	0.01343054661
40	0.9085963003	0.01333363441
41	0.9087199021	0.01325786368
42	0.9102024181	0.01317010672
43	0.9102024181	0.01306761477
44	0.9104497894	0.01293299208
45	0.9104497894	0.01285759727
46	0.9105735254	0.01278624476
47	0.9105735254	0.01270622136
48	0.9118046133	0.01257320444
49	0.9121759196	0.01243510066
50	0.9138983051	0.01228864602
51	0.9137744035	0.01219547904
52	0.9153689912	0.01208316099
53	0.9153689912	0.01199964822
54	0.9152450582	0.01191404745
55	0.9167117361	0.01172797744
56	0.9181744531	0.01167408999
57	0.9181744531	0.01158606308
58	0.9197572488	0.01152800376
59	0.9196332255	0.01147877387
60	0.9210880689	0.01141580215
61	0.9239860328	0.01135266349
62	0.922787194	0.01127621159
63	0.9242342826	0.01120832449
64	0.9242342826	0.01114084557
65	0.9243584576	0.0110514089
66	0.924482666	0.01095838608
67	0.9243584576	0.010872302
68	0.9258016906	0.01081678167
69	0.9259259259	0.01071395109
70	0.9259259259	0.01065595589
71	0.9273653176	0.01057581422
72	0.9288008565	0.01049554358
73	0.9274896127	0.01039525839
74	0.9290495315	0.01031009484
75	0.9290495315	0.01020699476
76	0.9289251774	0.01010103754
77	0.9289251774	0.01001084605
78	0.9289251774	0.009954720526
79	0.9289251774	0.009883637827
80	0.9288008565	0.009774404841
81	0.928676569	0.009711839061
82	0.928676569	0.009673905587
83	0.9288008565	0.009595999768
84	0.9302325581	0.009495282339
85	0.9303569042	0.009334380225
86	0.9303569042	0.00921334817
87	0.9304812834	0.009117929514
88	0.9303569042	0.00906817745
89	0.9319092123	0.008993382136
90	0.9304812834	0.008898943308
91	0.9319092123	0.008829079702
92	0.9319092123	0.008755408072
93	0.9319092123	0.008682768228
94	0.9320336494	0.008592987089
95	0.9319092123	0.008536956586
96	0.9333333333	0.008460161512
97	0.9333333333	0.008403952571
98	0.93629472	0.008348634631
99	0.9350026638	0.008251123495
100	0.9364192604	0.00818980403
101	0.9350026638	0.008161358775
102	0.9364192604	0.008105673755
103	0.9364192604	0.008057171689
104	0.9378320935	0.00801254994
105	0.9378320935	0.007917184701
106	0.939241178	0.007858805606
107	0.939241178	0.007808432269
108	0.939241178	0.007770261615
